Food & Drink (200),,,0,
,Restaurants (150),,,
,,Italian(70),,High
,,Latin American(50),,
,,American(45),,
,,Asian,,
,,Japanese,,
,,Pizza,,
,,Seafood,,
,,Steakhouses,,
,,Mediterranean,,
,,Mexican,,
,,Spanish,,
,,Sushi,,
,,Cafes,,
,,Brazillian,,
,,Burgers,,
,,BBQ,,
,,Sandwiches,,
,,Polish,,
,,Middle Eatern,,
,,Bar Food,,
,,Indian,,
,,British,,
,,Thai,,
,,Vietnamese,,0
,Groceries & Markets(20),,,
,,Groceries & Markets(20),,
,Coffee & Treats(35),,,
,,Ice Cream(15),,
,,Bakeries(10),,
,,Cafes(8),,
,,Coffee(7),,
,Bars(10),,,
,,Sport Bars(7),,
,,Club Bars(3),,
,"Beer, Wine & Spirits(5)",,,
,,Beer Tasting(4),,
,,Wine Tasting(1),,
,Clubs(3),,,
,,Adult Clubs(2),,
,,Comedy(1),,Low
,,,,
Active Business(450),,,,
,Activities(300),,,
,,Fitness Classes(150),,
,,Kids Activities(137),,
,,Martial Arts(129),,
,,Tours,,
,,Water Sports,,
,,Dance Classes,,
,,Boxing & Kickboxing,,
,,Trampoline & Bounce Houses,,
,,Concerts,,
,,Theater & Shows,,
,,Skydiving,,
,,Golf,,
,,Paintball,,
,,Museums,,
,,Fishing,,
,,Paragliding,,
,,Roller & Ice Skating,,
,,Zoo,,
,,Kayaking,,
,,Festivals,,
,,Circus,,
,,Hot Air Balloon,,
,,Bowling,,
,,Cooking Classes,,
,,Wine Tasting,,
,,Amusement Parks,,
,,Sporting Events,,
,,Racing,,
,,Pool Halls,,
,,Gymnastics,,
,,Shooting Range,,
,,Snorkelling,,
,,Soccer,,
,,Mini Golf,,
,,Tennis,,
,,Rock Climbing,,
,,Baseball,,
,Classes(150),,,
,,Fitness(110),,
,,Dance(29),,
,,Music,,
,,Art,,
,,Cooking ,,
,,Acting,,
,,Pottery,,
,Sightseeing(100),,,
,,Tours(76),,
,,Museums,,
,,Zoo,,
,,Hot Air Balloon,,
,,Whale Watching,,
,Nightlife(50),,,
,,Concerts(29),,
,,Theater & Shows,,
,,Bars,,
,,Clubs,,
,,Movies,,
,Tickets & Events(39),,,
,,Concerts(29),,
,,Theater & Shows,,
,,Comedy Clubs,,
,,Festivals,,
,,Circus,,
,,Sporting Events,,
,,Movies,,
Beauty & Spas(700),,,,
,Salons,,,
,,Nails,,
,,Hairs,,
,,Tanning,,
,,Salon Packages,,
,,Barber Shops,,
,Hair & Styling,,,
,,HairCuts,,
,,Color & Highlights,,
,,Blow & Styling,,
,,Hair Straightening,,
,Facial & Skin Care,,,
,,Facials,,
,,Eyelash Extensions,,
,,Tanning,,
,,Microdermabrasion,,
,,Facial Peels,,
,,IPL,,
,,Botox,,
,,Permanent Makeup,,
,,Eyebrow Tinting,,
,,Injectables & Fillers,,
,Massages,,,
,,Full Body,,
,,Swedish,,
,,Deep Tissue,,
,,Classic,,
,,Reflexology,,
,,Couples,,
,,Sports,,
,,Foot,,
,,HotStone,,
,,Prenatal,,
,Cosmetic Procedures,,,
,,Cellulite Treatments,,
,,Liposuction,,
,,Teeth Whitening,,
,,Spider Vein Treatments,,
,,Hair Restoration,,
,,Invisalign,,
,,Braces,,
,,Tatoos,,
,,Permanent Makeup,,
,,Botox,,
,,Facelift,,
,,Tatoo Removal,,
,,Injectables & Fillers,,
,,Varicose Vein Treatments,,
,Spas,,,
,,Day Spa,,
,,Salt Caves,,
,,Bath House,,
,,Sauna,,
,Hair Removal,,,
,,Waxing,,
,,Laser,,
,,Eyebrow Threading,,
,,Sugaring,,
,Nails,,,
,,Mani Pedis,,
,,Manicures,,
,,Shellac Manicures,,
,,Nail Art Designs,,
,,Pedicures,,
Health & Fitness,,,,
,Gym,,,
,,Martial Arts(129),,
,,Personal Trainer,,
,,Boot Camp,,
,,Boxing & Kickboxing,,
,,Yoga,,
,,Zumba,,
,,Crossfit,,
,,Health Clubs,,
,,Pilates,,
,,Spinning,,
,Sport,,,
,,Martial Arts(129),,
,,Boxing & Kickboxing,,
,,Golf,,
,,Kayaking,,
,,Gymnastics,,
,,Running,,
,,Soccer,,
,,Sport Equipment,,
,,Baseball,,
,,Cycling,,
,,Climbing,,
,,Tennis,,
,Weigh Loss,,,
,,Nutritionist,,
,Natural Medicine,,,
,,Chiropractor,,
,,Acupuncture,,
,,Hypnosis,,
,,Colonic Hydrotherapy,,
,Medical,,,
,,Plastic Surgery,,
,,Family Doctor,,
,Dental,,,
,,Teeth Whitening,,
,,Teeth Cleaning,,
,,Braces,,
,,Invisalign,,
,,Dental Implant,,
,Vision,,,
,,Glasses,,
,,Eye Exam,,
,,LASIK,,
Automotive,,,,
,Auto Repairs,,,
,,Oil Change,,
,,Auto Repair Services,,
,,Tires,,
,Auto Detailing,,,
,,Car Wash,,
,,Car Detail,,
,Car Rental,,,
,,Car Service,,
,,Taxi,,
,,Car Rental,,
,,Limousine,,
,Parking,,,
,,Airport Parking,,
,Transportation,,,
,,Transportation,,
Electronics,,,,
,Cell Phones & Accessories,,,
,,Cases & Screen Protectors,,
,,"Cables, Chargers, Adaptors",,
,,Backup Batteries,,
